Date;Time;Pokemon;Trainer Region;Trainer Subregion;Pokemon Region;Level;Level Met;Gender;Type1;Type2;Nature;Pokeball;Held Item;Perfect IVs
12/16/16;10:01;Magikarp;Italy;;CHT;17;12;F;Water;;Modest;Poke;F;0
12/16/16;10:02;Magikarp;South Korea;;JPN;1;1;F;Water;;Impish;Poke;F;3
12/16/16;10:03;Mudbray;Japan;;CHS;1;1;M;Ground;;Naughty;Poke;F;0
12/16/16;10:04;Caterpie;Germany;;GER;2;2;F;Bug;;Timid;Poke;F;0
12/16/16;10:06;Bounsweet;Japan;;JPN;1;1;F;Grass;;Adamant;Poke;F;3
12/16/16;10:07;Grubbin;Japan;;JPN;1;1;F;Bug;;Modest;Poke;F;3
12/16/16;10:08;Lillipup;Japan;;;12;12;F;Normal;;Mild;Great;F;0
12/16/16;10:09;Salandit;Ireland;;JPN;1;1;M;Poison;Fire;Brave;Poke;F;5
12/16/16;10:11;Wimpod;Japan;;JPN;1;1;M;Bug;Water;Adamant;Heavy;F;4
12/16/16;10:12;Salandit;Chile;;SPA;1;1;M;Poison;Fire;Quiet;Luxury;F;0
12/16/16;10:13;Sneasel;Japan;;JPN;1;1;M;Dark;Ice;Quirky;Poke;F;1
12/16/16;10:15;Pikipek;Japan;;JPN;55;55;M;Normal;Flying;Jolly;Poke;F;0
12/16/16;10:16;Grubbin;Japan;;JPN;16;16;M;Bug;;Naive;Poke;F;0
12/16/16;10:17;Abra;United States;Alaska;JPN;1;1;F;Psychic;;Bold;Ultra;F;0
12/16/16;10:18;Ledyba;Japan;;JPN;14;3;M;Bug;Flying;Calm;Poke;F;1
12/16/16;10:20;Metapod;Netherlands;;;7;3;M;Bug;;Serious;Poke;F;0
12/16/16;10:36;Eevee;United Kingdom;;JPN;1;1;M;Normal;;Adamant;Love;F;3
12/16/16;13:09;Salandit;United States;Texas;;28;1;M;Poison;Fire;Hardy;Poke;F;0
12/16/16;13:10;Minior;Portugal;;;27;27;N;Rock;Flying;Timid;Ultra;F;1
12/16/16;13:12;Stufful;Japan;;;23;23;F;Normal;Fighting;Sassy;Premier;F;0
12/16/16;13:13;Miltank;Russia;;;15;15;F;Normal;;Sassy;Ultra;F;1
12/16/16;13:14;Popplio;United States;Massachusetts;;1;1;M;Water;;Bold;Poke;F;1
12/16/16;13:15;A.Meowth;Spain;;JPN;26;26;F;Dark;;Relaxed;Quick;F;0
12/16/16;13:17;Mimikyu;Italy;;;1;1;F;Ghost;Fairy;Lonely;Dusk;F;1
12/16/16;13:18;A.Meowth;Germany;;SPA;7;6;M;Dark;;Rash;Poke;F;0
12/16/16;13:20;Magnemite;United States;New York;;8;8;N;Electric;Steel;Naive;Poke;F;0
12/16/16;13:21;Golbat;Germany;;;29;29;F;Poison;Flying;Mild;Poke;F;0
12/16/16;13:22;Pikipek;United States;Mississippi;;3;3;M;Normal;Flying;Careful;Poke;F;0
12/16/16;13:23;Popplio;France;;GER;1;1;M;Water;;Jolly;Poke;F;0
12/16/16;13:24;Magikarp;Japan;;JPN;1;1;F;Water;;Jolly;Ultra;F;3
12/16/16;13:28;Salandit;Spain;;SPA;17;17;M;Poison;Fire;Quirky;Ultra;F;0
12/16/16;13:29;Skarmory;Germany;;GER;27;27;M;Steel;Flying;Lonely;Ultra;F;1
12/16/16;13:30;Yungoos;United States;California;ITA;11;3;M;Normal;;Careful;Poke;F;1
12/16/16;13:32;A.Geodude;France;;FRE;1;1;F;Rock;Electric;Naive;Ultra;F;0
12/16/16;13:34;Dewpider;France;;SPA;1;1;F;Water;Bug;Relaxed;Net;F;3
12/16/16;13:35;Stufful;United States;North Carolina;JPN;1;1;F;Normal;Fighting;Adamant;Love;F;5
12/16/16;13:36;Pikipek;United Kingdom;;;16;16;M;Normal;Flying;Bold;Great;F;0
12/16/16;13:37;Wingull;United Kingdom;;JPN;8;5;M;Water;Flying;Brave;Poke;F;0
12/16/16;13:38;Litten;United States;Nevada;FRE;1;1;M;Fire;;Quirky;Poke;F;0
12/16/16;13:40;Klefki;Japan;;JPN;1;1;F;Steel;Fairy;Calm;Poke;F;1
12/16/16;13:41;A.Dugtrio;Germany;;;44;44;M;Ground;Steel;Quirky;Ultra;F;0
12/16/16;13:42;Snorunt;Japan;;JPN;42;42;F;Ice;;Naive;Heal;F;0
12/16/16;13:43;Honedge;Italy;;ITA;1;1;F;Steel;Ghost;Naive;Premier;F;2
12/16/16;13:45;A.Raticate;Japan;;JPN;54;54;M;Dark;Normal;Hardy;Quick;F;0
12/16/16;13:46;Staryu;United States;New York;GER;23;23;N;Water;;Impish;Ultra;T;0
12/16/16;13:47;Scyther;Japan;;JPN;1;1;M;Bug;Flying;Adamant;Ultra;F;3
12/16/16;13:48;Komala;United States;Idaho;;1;1;F;Normal;;Lonely;Quick;F;0
12/16/16;15:15;Machop;United States;;;13;13;F;Fighting;;Mild;Ultra;F;0
12/16/16;15:16;A.Rattata;Germany;;GER;8;5;F;Dark;Normal;Rash;Poke;F;0
12/16/16;15:17;Roggenrola;United Kingdom;;;13;13;M;Rock;;Hasty;Ultra;F;0
12/16/16;15:18;Finneon;Japan;;SPA;20;20;M;Water;;Lax;Poke;F;0
12/16/16;15:19;Gible;Mexico;;;1;1;F;Dragon;Ground;Jolly;Luxury;F;5
12/16/16;15:21;Litten;France;;;1;1;M;Fire;;Hardy;Poke;F;0
12/16/16;15:22;Salandit;Germany;;JPN;1;1;M;Poison;Fire;Timid;Luxury;F;5
12/16/16;15:24;A.Vulpix;Japan;;JPN;1;1;M;Ice;;Hasty;Dusk;F;1
12/16/16;15:25;Magikarp;United States;New Hampshire;;1;1;F;Water;;Adamant;Nest;F;5
12/16/16;15:26;Slowpoke;Japan;;;7;6;F;Water;Psychic;Serious;Poke;F;0
12/16/16;15:27;Torkoal;United States;California;;27;27;M;Fire;;Serious;Quick;F;0
12/16/16;15:28;Yungoos;United States;Indiana;;2;2;M;Normal;;Modest;Poke;F;0
12/16/16;15:29;A.Vulpix;Japan;;GER;1;1;F;Ice;;Adamant;Dusk;F;3
12/16/16;15:31;A.Meowth;Japan;;;26;26;F;Dark;;Modest;Quick;F;0
12/16/16;15:32;Sandile;United Kingdom;;JPN;31;31;M;Ground;Dark;Docile;Nest;F;0
12/16/16;15:33;Finneon;France;;;17;17;M;Water;;Timid;Poke;F;0
12/16/16;15:35;Masquerain;Spain;;SPA;26;26;M;Bug;Flying;Quirky;Quick;F;0
12/16/16;15:35;Litten;United States;North Carolina;SPA;1;1;M;Fire;;Sassy;Poke;F;0
12/16/16;15:37;Caterpie;Switzerland;;;4;4;M;Bug;;Impish;Great;F;0
12/16/16;15:38;Pikipek;United Kingdom;;;1;1;F;Normal;Flying;Jolly;Luxury;F;1
12/16/16;15:39;Yungoos;United States;Texas;;5;5;F;Normal;;Timid;Poke;F;0
12/16/16;15:40;Wingull;United States;California;;8;8;M;Water;Flying;Relaxed;Poke;F;0
12/16/16;15:42;Salandit;United States;Colorado;JPN;1;1;M;Poison;Fire;Adamant;Poke;F;5
12/16/16;15:43;Ledyba;Netherlands;;ITA;3;3;F;Bug;Flying;Docile;Poke;F;0
12/16/16;15:44;Minior;United States;Wisconsin;GER;26;26;N;Rock;Flying;Quirky;Quick;F;0
12/16/16;15:45;Tentacool;United Kingdom;;;23;23;M;Water;Poison;Relaxed;Ultra;F;1
12/16/16;15:47;Crabrawler;Brazil;;;8;8;M;Fighting;;Impish;Poke;F;1
12/16/16;15:48;Cutiefly;United States;California;;1;1;M;Bug;Fairy;Modest;Poke;F;0
12/16/16;15:49;Abra;Spain;;JPN;1;1;M;Psychic;;Gentle;Quick;F;0
12/16/16;15:50;A.Meowth;Spain;;SPA;7;7;F;Dark;;Sassy;Poke;F;1
12/16/16;21:09;Magnemite;United States;California;JPN;7;6;N;Electric;Steel;Modest;Poke;F;0
12/16/16;21:10;Magnemite;United States;Florida;JPN;8;7;N;Electric;Steel;Lax;Poke;F;0
12/16/16;21:11;Magikarp;Japan;;;11;11;M;Water;;Serious;Poke;F;0
12/16/16;21:13;Dewpider;Japan;;JPN;1;1;F;Water;Bug;Adamant;Net;F;4
12/16/16;21:14;Cottonee;Japan;;JPN;55;55;M;Grass;Fairy;Serious;Quick;F;0
12/16/16;21:15;Magnemite;Canada;;JPN;26;26;N;Electric;Steel;Mild;Poke;F;0
12/16/16;21:17;A.Diglett;United States;Indiana;;9;9;F;Ground;Steel;Quirky;Premier;F;0
12/16/16;21:18;Mareanie;Japan;;JPN;1;1;F;Poison;Water;Quiet;Beast;F;2
12/16/16;21:19;Yungoos;Mexico;;;4;4;F;Normal;;Bold;Poke;F;0
12/16/16;21:20;Rowlet;Japan;;JPN;1;1;M;Grass;Flying;Gentle;Poke;F;0
12/16/16;21:22;Minior;United States;New York;;27;27;N;Rock;Flying;Mild;Ultra;F;1
12/16/16;21:23;Bagon;United States;California;;1;1;F;Dragon;;Impish;Poke;F;0
12/16/16;21:24;Mimikyu;Spain;;;1;1;F;Ghost;Fairy;Adamant;Poke;F;1
12/16/16;21:26;Goldeen;United States;Tennessee;;10;10;M;Water;;Timid;Quick;F;0
12/16/16;21:27;Litten;United States;Kansas;;1;1;M;Fire;;Quirky;Poke;F;0
12/16/16;21:28;Rockruff;United States;Massachusetts;;28;13;M;Rock;;Calm;Nest;F;0
12/16/16;21:29;Cubone;United States;New Jersey;JPN;1;1;M;Ground;;Adamant;Ultra;F;1
12/16/16;21:31;Abra;United States;Michigan;JPN;1;1;F;Psychic;;Sassy;Ultra;F;0
12/16/16;21:32;Abra;Japan;;JPN;1;1;M;Psychic;;Quirky;Quick;F;0
12/16/16;21:33;Dewpider;United States;Georgia;;16;16;F;Water;Bug;Bashful;Nest;F;0
12/16/16;21:34;Cutiefly;Japan;;;12;12;F;Bug;Fairy;Mild;Great;F;0
12/16/16;21:36;Magikarp;Japan;;JPN;15;15;F;Water;;Impish;Quick;F;0
12/16/16;21:37;Litten;United States;New Jersey;JPN;1;1;M;Fire;;Mild;Poke;F;2
12/16/16;21:38;Tentacool;United States;Ohio;JPN;21;21;M;Water;Poison;Docile;Dive;F;0
12/16/16;21:39;Rowlet;United States;Utah;JPN;1;1;M;Grass;Flying;Adamant;Poke;F;4
12/16/16;21:40;Mimikyu;Japan;;JPN;1;1;M;Ghost;Fairy;Jolly;Poke;F;3
12/16/16;21:42;Fletchling;Japan;;JPN;19;19;F;Normal;Flying;Naughty;Great;F;0
12/16/16;21:43;Gastrodon;Japan;;JPN;41;41;F;Water;Ground;Mild;Poke;F;0
12/16/16;21:44;Yungoos;Japan;;;3;3;F;Normal;;Bashful;Poke;F;0
12/16/16;21:45;Exeggcute;Japan;;;44;43;F;Grass;Psychic;Quirky;Great;F;0
12/17/16;10:52;Pikipek;United States;Oregon;FRE;10;3;M;Normal;Flying;Impish;Poke;F;0
12/17/16;10:53;Makuhita;Japan;;CHT;9;9;F;Fighting;;Bashful;Poke;F;0
12/17/16;10:55;Abra;United Kingdom;;JPN;6;6;M;Psychic;;Docile;Poke;F;1
12/17/16;10:56;Drampa;United States;Virginia;JPN;1;1;F;Normal;Dragon;Timid;Quick;F;0
12/17/16;10:57;Zubat;Spain;;JPN;49;49;F;Poison;Flying;Adamant;Poke;F;0
12/17/16;10:59;Cutiefly;Japan;;;1;1;F;Bug;Fairy;Timid;Quick;F;0
12/17/16;11:00;Rowlet;United States;Texas;;1;1;M;Grass;Flying;Calm;Poke;F;0
12/17/16;11:01;Emolga;Japan;;JPN;55;55;M;Electric;Flying;Careful;Poke;F;0
12/17/16;11:02;A.Vulpix;Japan;;;9;1;M;Ice;;Jolly;Premier;F;0
12/17/16;11:04;Rowlet;United Kingdom;;;1;1;F;Grass;Flying;Gentle;Poke;F;0
12/17/16;11:05;Yungoos;United States;Florida;FRE;5;5;F;Normal;;Impish;Poke;F;0
12/17/16;11:06;A.Rattata;Japan;;GER;5;5;M;Dark;Normal;Bashful;Poke;F;0
12/17/16;11:07;Bagon;Japan;;JPN;1;1;F;Dragon;;Modest;Poke;F;3
12/17/16;11:09;Porygon;United States;Wisconsin;;1;1;N;Normal;;Sassy;Poke;F;4
12/17/16;11:10;Poliwag;Mexico;;;54;54;F;Water;;Lonely;Poke;F;1
12/17/16;11:11;Mimikyu;Japan;;GER;1;1;F;Ghost;Fairy;Adamant;Poke;F;1
12/17/16;11:13;Magnemite;Italy;;JPN;10;8;N;Electric;Steel;Brave;Poke;F;0
12/17/16;11:14;Wingull;Italy;;GER;5;5;M;Water;Flying;Modest;Poke;F;1
12/17/16;11:15;Gible;Spain;;JPN;1;1;M;Dragon;Ground;Adamant;Beast;F;4
12/17/16;11:17;Mimikyu;United Kingdom;;;1;1;F;Ghost;Fairy;Lonely;Ultra;F;0
12/17/16;11:18;Bagon;United Kingdom;;;1;1;F;Dragon;;Adamant;Beast;F;2
12/17/16;11:19;A.Diglett;France;;FRE;17;17;M;Ground;Steel;Jolly;Great;F;0
12/17/16;11:21;Exeggcute;United States;North Carolina;;43;43;M;Grass;Psychic;Rash;Nest;F;2
12/17/16;11:22;Gible;Japan;;JPN;1;1;M;Dragon;Ground;Jolly;Dive;F;3
12/17/16;11:23;A.Rattata;United States;Pennsylvania;;4;4;M;Dark;Normal;Naive;Quick;F;0
12/17/16;12:31;Abra;Japan;;JPN;1;1;F;Psychic;;Bashful;Poke;F;1
12/17/16;12:32;Magnemite;Japan;;;6;6;N;Electric;Steel;Mild;Poke;F;0
12/17/16;12:33;Rockruff;Japan;;GER;1;1;M;Rock;;Bold;Great;F;0
12/17/16;12:35;A.Vulpix;United States;California;;1;1;M;Ice;;Timid;Moon;F;5
12/17/16;12:36;A.Vulpix;Germany;;;1;1;F;Ice;;Timid;Moon;F;4
12/17/16;12:38;Gible;Japan;;JPN;1;1;F;Dragon;Ground;Jolly;Beast;F;3
12/17/16;12:39;Spearow;United States;Alabama;;10;10;F;Normal;Flying;Naive;Poke;F;0
12/17/16;12:40;Mimikyu;United Kingdom;;;1;1;F;Ghost;Fairy;Naive;Poke;F;4
12/17/16;12:41;Magikarp;United States;Virginia;JPN;1;1;F;Water;;Timid;Nest;F;0
12/17/16;12:43;Magikarp;France;;JPN;10;10;F;Water;;Careful;Poke;F;0
12/17/16;12:44;Wingull;Italy;;GER;7;7;F;Water;Flying;Lonely;Net;F;1
12/17/16;12:45;Oricorio;United Kingdom;;SPA;9;9;F;Electric;Flying;Hasty;Poke;F;0
12/17/16;12:47;Mimikyu;Germany;;JPN;1;1;M;Ghost;Fairy;Brave;Poke;F;2
12/17/16;12:48;Wingull;Germany;;ITA;5;5;M;Water;Flying;Impish;Poke;F;1
12/17/16;12:49;Mimikyu;Austria;;;1;1;F;Ghost;Fairy;Mild;Dusk;F;0
12/17/16;12:51;Fomantis;United Kingdom;;JPN;1;1;M;Grass;;Adamant;Love;F;2
12/17/16;12:52;Yungoos;Spain;;SPA;17;17;M;Normal;;Careful;Ultra;F;0
12/17/16;12:53;A.Rattata;France;;FRE;8;8;F;Dark;Normal;Lax;Poke;F;1
12/17/16;12:54;Cutiefly;Japan;;JPN;12;12;F;Bug;Fairy;Lonely;Poke;F;0
12/17/16;12:56;A.Vulpix;Japan;;JPN;1;1;F;Ice;;Timid;Dive;F;5
12/17/16;12:57;Grubbin;United States;New York;;1;1;M;Bug;;Hardy;Poke;F;4
12/17/16;12:58;A.Rattata;United States;Florida;JPN;3;3;M;Dark;Normal;Bashful;Ultra;T;1
12/17/16;12:59;Fletchling;Japan;;CHS;19;19;M;Normal;Flying;Careful;Poke;F;0
12/17/16;13:00;Wishiwashi;Netherlands;;;1;1;M;Water;;Sassy;Dive;F;1
12/17/16;13:02;Magnemite;United States;;FRE;7;7;N;Electric;Steel;Bold;Poke;F;0
12/17/16;13:03;Zubat;Japan;;;23;23;M;Poison;Flying;Quirky;Poke;F;1
12/17/16;13:04;Sandygast;United States;Minnesota;;22;22;M;Ghost;Ground;Hasty;Repeat;F;0
12/17/16;13:05;Pikipek;Switzerland;;;3;3;M;Normal;Flying;Lax;Poke;F;3
12/17/16;13:08;A.Vulpix;Japan;;;21;1;F;Ice;;Bashful;Quick;F;0
12/17/16;15:19;Mimikyu;Finland;;;1;1;M;Ghost;Fairy;Adamant;Moon;F;3
12/17/16;15:21;Spinarak;United States;New York;;2;2;M;Bug;Poison;Relaxed;Poke;F;0
12/17/16;15:22;A.Rattata;United States;Indiana;;3;3;F;Dark;Normal;Calm;Ultra;F;0
12/17/16;15:23;Scyther;United States;California;;53;53;M;Bug;Flying;Bold;Poke;F;0
12/17/16;15:26;Magnemite;Japan;;FRE;5;5;N;Electric;Steel;Naive;Poke;F;1
12/17/16;15:27;Ledyba;France;;FRE;3;3;F;Bug;Flying;Modest;Poke;F;0
12/17/16;15:28;Yungoos;Germany;;GER;6;6;F;Normal;;Quirky;Ultra;F;0
12/17/16;15:29;Grubbin;United States;;;3;3;F;Bug;;Adamant;Poke;F;1
12/17/16;15:30;Ledyba;Germany;;GER;5;5;M;Bug;Flying;Quirky;Ultra;F;0
12/17/16;15:32;Komala;Germany;;GER;1;1;M;Normal;;Bold;Ultra;F;0
12/17/16;15:33;Fearow;United States;Illinois;GER;27;27;F;Normal;Flying;Rash;Great;F;0
12/17/16;15:34;A.Rattata;Brazil;;;8;8;M;Dark;Normal;Bashful;Poke;F;0
12/17/16;15:35;Magikarp;Japan;;JPN;1;1;M;Water;;Naughty;Beast;F;0
12/17/16;15:36;Machop;Mexico;;;9;9;M;Fighting;;Brave;Poke;T;1
12/17/16;15:38;A.Meowth;Germany;;;1;1;M;Dark;;Brave;Dusk;F;1
12/17/16;15:39;Drowzee;Mexico;;;9;9;M;Psychic;;Bashful;Ultra;F;0
12/17/16;15:40;Honedge;United States;Colorado;JPN;1;1;F;Steel;Ghost;Quiet;Quick;F;2
12/17/16;15:42;A.Vulpix;Italy;;;1;1;F;Ice;;Modest;Premier;F;0
12/17/16;15:43;Mudbray;Germany;;GER;14;14;F;Ground;;Jolly;Quick;F;0
12/17/16;15:44;A.Grimer;Italy;;;8;8;M;Poison;Dark;Serious;Great;F;0
12/17/16;15:45;Gumshoos;Italy;;;24;4;M;Normal;;Docile;Poke;F;0
12/17/16;15:47;Eevee;France;;;1;1;M;Normal;;Gentle;Poke;F;1
12/17/16;15:48;Deino;United States;Kansas;;1;1;F;Dark;Dragon;Relaxed;Dusk;F;0
12/17/16;15:49;Fletchinder;United States;Missouri;;18;18;M;Fire;Flying;Mild;Great;F;0
12/17/16;15:50;Abra;Japan;;JPN;6;6;M;Psychic;;Calm;Quick;F;0
12/17/16;15:51;Pikipek;United States;California;GER;12;12;M;Normal;Flying;Hardy;Nest;F;0
12/17/16;15:53;Lunala;Spain;;SPA;55;55;N;Psychic;Ghost;Timid;Master;T;6
12/17/16;15:54;Skarmory;Spain;;;25;25;F;Steel;Flying;Sassy;Poke;F;1
12/17/16;15:56;A.Rattata;United States;Wisconsin;;5;5;M;Dark;Normal;Lax;Poke;F;0
12/17/16;15:57;Rowlet;Finland;;;1;1;M;Grass;Flying;Hasty;Poke;F;1
12/17/16;23:40;Skarmory;Japan;;JPN;27;27;M;Steel;Flying;Naive;Quick;F;0
12/17/16;23:41;Dewpider;Brazil;;;1;1;M;Water;Bug;Adamant;Net;F;3
12/17/16;23:42;Gible;Japan;;;1;1;M;Dragon;Ground;Adamant;Beast;F;2
12/17/16;23:43;Mimikyu;Canada;;;1;1;M;Ghost;Fairy;Adamant;Ultra;F;3
12/17/16;23:45;Eevee;Japan;;CHT;1;1;M;Normal;;Bold;Dusk;F;3
12/17/16;23:46;A.Raticate;United States;Texas;;30;30;M;Dark;Normal;Naughty;Poke;F;0
12/17/16;23:47;Gastly;Ireland;;;9;7;F;Ghost;Poison;Serious;Poke;F;1
12/17/16;23:49;Rockruff;Japan;;;1;1;M;Rock;;Adamant;Ultra;F;1
12/17/16;23:50;Minior;United States;Texas;;1;1;N;Rock;Flying;Naughty;Poke;F;2
12/17/16;23:51;Mimikyu;United States;Nevada;;1;1;M;Ghost;Fairy;Bashful;Great;F;1
12/17/16;23:54;Stufful;United States;Ohio;;20;20;M;Normal;Fighting;Brave;Repeat;F;0
12/17/16;23:55;Mimikyu;Japan;;JPN;1;1;F;Ghost;Fairy;Adamant;Poke;F;4
12/17/16;23:57;Pyukumuku;Japan;;JPN;16;16;F;Water;;Brave;Great;F;1
12/17/16;23:58;Magikarp;Japan;;JPN;35;35;F;Water;;Careful;Dive;F;0
12/17/16;23:59;Mudbray;United States;Pennsylvania;;11;11;M;Ground;;Bold;Great;F;0
12/18/16;00:00;Yungoos;Japan;;JPN;9;9;F;Normal;;Serious;Quick;F;0
12/18/16;00:02;Wingull;United States;Texas;JPN;1;1;M;Water;Flying;Impish;Beast;F;2
12/18/16;00:03;Abra;Japan;;JPN;6;6;F;Psychic;;Jolly;Quick;F;0
12/18/16;00:04;A.Rattata;Japan;;JPN;6;6;M;Dark;Normal;Gentle;Poke;F;0
12/18/16;00:05;Absol;Japan;;JPN;1;1;M;Dark;;Adamant;Beast;F;3
12/18/16;00:07;Fearow;Japan;;JPN;25;25;M;Normal;Flying;Timid;Ultra;F;1
12/18/16;00:08;Abra;United States;Ohio;CHS;1;1;F;Psychic;;Docile;Quick;F;2
12/18/16;00:09;Salandit;Japan;;JPN;19;19;F;Poison;Fire;Jolly;Luxury;F;0
12/18/16;00:11;Yungoos;Japan;;JPN;21;6;F;Normal;;Naughty;Poke;F;0
12/18/16;00:12;Granbull;Japan;;JPN;56;56;F;Fairy;;Hasty;Poke;F;0
12/18/16;00:13;Rockruff;Canada;;;11;11;M;Rock;;Jolly;Great;F;0
12/18/16;00:15;Magnemite;United States;Washington;JPN;6;6;N;Electric;Steel;Jolly;Poke;F;0
12/18/16;00:16;A.Rattata;Japan;;;20;20;F;Dark;Normal;Docile;Nest;F;0
12/18/16;00:17;Grubbin;Japan;;JPN;1;1;M;Bug;;Modest;Poke;F;4
12/18/16;00:18;Skarmory;United States;Georgia;JPN;1;1;F;Steel;Flying;Quirky;Poke;F;1
12/18/16;16:01;A.Rattata;France;;ITA;5;5;F;Dark;Normal;Naive;Poke;F;0
12/18/16;16:02;Snivy;United States;;SPA;1;1;M;Grass;;Timid;Luxury;F;5
12/18/16;16:03;Fletchling;United States;Washington;JPN;18;18;M;Normal;Flying;Relaxed;Poke;F;0
12/18/16;16:05;Cyndaquil;United States;Pennsylvania;;1;1;M;Fire;;Docile;Ultra;F;2
12/18/16;16:06;Rowlet;United States;Ohio;;1;1;M;Grass;Flying;Jolly;Poke;F;5
12/18/16;16:07;Abra;United Kingdom;;;8;7;F;Psychic;;Serious;Nest;F;0
12/18/16;16:08;Wimpod;Germany;;;1;1;F;Bug;Water;Adamant;Heavy;F;3
12/18/16;16:10;Magikarp;United States;North Carolina;SPA;14;14;F;Water;;Relaxed;Poke;F;0
12/18/16;16:11;Pancham;Germany;;;32;32;M;Fighting;;Lax;Ultra;F;0
12/18/16;16:12;Magikarp;United States;;JPN;1;1;M;Water;;Jolly;Net;F;2
12/18/16;16:14;Litten;United States;Michigan;;1;1;F;Fire;;Hasty;Poke;F;0
12/18/16;16:15;Wingull;United States;South Carolina;;12;12;F;Water;Flying;Jolly;Poke;F;1
12/18/16;16:16;Murkrow;United States;Alaska;;1;1;M;Dark;Flying;Rash;Poke;F;0
12/18/16;16:17;A.Vulpix;France;;SPA;1;1;M;Ice;;Timid;Premier;F;5
12/18/16;16:18;Abra;Netherlands;;JPN;5;5;M;Psychic;;Calm;Quick;F;0
12/18/16;16:20;Mareanie;Germany;;GER;1;1;M;Poison;Water;Rash;Ultra;F;0
12/18/16;16:21;Litwick;Germany;;;1;1;F;Ghost;Fire;Timid;Nest;F;5
12/18/16;16:22;Roggenrola;United Kingdom;;GER;11;11;F;Rock;;Bold;Ultra;F;0
12/18/16;16:23;Abra;France;;CHS;7;7;M;Psychic;;Naughty;Quick;F;0
12/18/16;16:25;Drampa;United States;Florida;;43;43;F;Normal;Dragon;Docile;Quick;F;0
12/18/16;16:26;A.Diglett;United States;Virginia;JPN;10;10;F;Ground;Steel;Jolly;Quick;F;1
12/18/16;16:27;Pikipek;Italy;;SPA;7;3;M;Normal;Flying;Naughty;Poke;F;0
12/18/16;16:28;Wingull;Brazil;;;7;7;M;Water;Flying;Adamant;Quick;T;0
12/18/16;16:30;A.Grimer;United States;New York;;6;6;F;Poison;Dark;Careful;Ultra;F;0
12/18/16;16:31;Gumshoos;Peru;;SPA;24;11;F;Normal;;Rash;Poke;F;0
12/18/16;16:32;Pikipek;Spain;;SPA;12;12;F;Normal;Flying;Brave;Ultra;F;1
12/18/16;16:33;Gumshoos;United States;Washington;;20;5;F;Normal;;Quirky;Poke;F;0
12/18/16;16:34;Rowlet;Finland;;;1;1;M;Grass;Flying;Jolly;Poke;F;1
12/18/16;16:36;Murkrow;Russia;;;17;17;M;Dark;Flying;Rash;Poke;F;1
12/18/16;16:37;Crabrawler;South Korea;;;8;8;M;Fighting;;Careful;Nest;F;0
